group_family,Nc,Nt,Ns,nF,nAS,nS,nADJ,name,beta,mass,Ls,alpha,a5,M5,mpv,therm,delta_traj,mres_p_start,mres_p_end
Sp,4,32,16,2,0,0,0,B1M2S28,7.4,0.02,8,1.75,1,1.8,1.6,150,5,6,23
Sp,4,32,16,2,0,0,0,B2M1S1,7.5,0.06,8,1,1,1.8,1,150,5,9,18
Sp,4,32,16,2,0,0,0,B2M1S2,7.5,0.06,8,1.25,1,1.8,1,150,5,11,20
Sp,4,32,16,2,0,0,0,B2M1S3,7.5,0.06,8,1.5,1,1.8,1,150,5,10,22
Sp,4,32,16,2,0,0,0,B2M1S4,7.5,0.06,8,1.625,1,1.8,1,150,5,11,17
Sp,4,32,16,2,0,0,0,B2M1S5,7.5,0.06,8,1.75,1,1.8,1,150,5,10,22
Sp,4,32,16,2,0,0,0,B2M1S6,7.5,0.06,8,2,1,1.8,1,150,5,9,21
Sp,4,32,16,2,0,0,0,B2M1S7,7.5,0.06,8,2.25,1,1.8,1,150,5,11,19
Sp,4,32,16,2,0,0,0,B2M1S8,7.5,0.06,8,2.5,1,1.8,1,150,5,9,20
Sp,4,32,16,2,0,0,0,B2M1S9,7.5,0.06,8,2.75,1,1.8,1,150,5,15,20
Sp,4,32,16,2,0,0,0,B2M1S10,7.5,0.06,8,1.625,0.2,1.8,1,150,5,12,16
Sp,4,32,16,2,0,0,0,B2M1S11,7.5,0.06,8,1.625,0.5,1.8,1,150,5,13,22
Sp,4,32,16,2,0,0,0,B2M1S12,7.5,0.06,8,1.625,0.7,1.8,1,150,5,14,20
Sp,4,32,16,2,0,0,0,B2M1S13,7.5,0.06,8,1.625,0.9,1.8,1,150,5,14,22
Sp,4,32,16,2,0,0,0,B2M1S14,7.5,0.06,8,1.625,1.1,1.8,1,150,5,11,21
Sp,4,32,16,2,0,0,0,B2M1S15,7.5,0.06,8,1.625,1.2,1.8,1,150,5,8,24
Sp,4,32,16,2,0,0,0,B2M1S16,7.5,0.06,8,1.625,1.4,1.8,1,150,5,15,19
Sp,4,32,16,2,0,0,0,B2M1S17,7.5,0.06,8,1.625,1,1.4,1,150,5,8,15
Sp,4,32,16,2,0,0,0,B2M1S18,7.5,0.06,8,1.625,1,1.5,1,150,5,5,14
Sp,4,32,16,2,0,0,0,B2M1S19,7.5,0.06,8,1.625,1,1.6,1,150,5,8,25
Sp,4,32,16,2,0,0,0,B2M1S20,7.5,0.06,8,1.625,1,1.7,1,150,5,9,15
Sp,4,32,16,2,0,0,0,B2M1S21,7.5,0.06,8,1.625,1,1.75,1,150,5,10,25
Sp,4,32,16,2,0,0,0,B2M1S22,7.5,0.06,8,1.625,1,1.85,1,150,5,10,15
Sp,4,32,16,2,0,0,0,B2M1S23,7.5,0.06,8,1.625,1,1.9,1,150,5,11,20
Sp,4,32,16,2,0,0,0,B2M1S24,7.5,0.06,8,1.625,1,1.8,0.3,150,5,13,19
Sp,4,32,16,2,0,0,0,B2M1S25,7.5,0.06,8,1.625,1,1.8,0.7,150,5,11,17
Sp,4,32,16,2,0,0,0,B2M1S26,7.5,0.06,8,1.625,1,1.8,0.9,150,5,12,18
Sp,4,32,16,2,0,0,0,B2M1S27,7.5,0.06,8,1.625,1,1.8,1.1,150,5,16,23
Sp,4,32,16,2,0,0,0,B2M1S28,7.5,0.06,8,1.625,1,1.8,1.3,150,5,10,23
Sp,4,32,16,2,0,0,0,B2M1S29,7.5,0.06,8,1.625,1,1.8,1.6,150,5,15,22
Sp,4,32,16,2,0,0,0,B2M2S1,7.5,0.02,8,1,1,1.8,1,150,5,13,23
Sp,4,32,16,2,0,0,0,B2M2S2,7.5,0.02,8,1.25,1,1.8,1,150,5,11,23
