group_family,Nc,Nt,Ns,nF,nAS,nS,nADJ,name,beta,mass,Ls,alpha,a5,M5,mpv,therm,delta_traj
Sp,4,8,8,2,0,0,0,B62M2,6.2,0.09,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B62M3,6.2,0.08,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B62M4,6.2,0.07,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B62M5,6.2,0.06,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B62M6,6.2,0.05,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B62M7,6.2,0.04,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B62M8,6.2,0.03,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B62M9,6.2,0.02,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B62M10,6.2,0.01,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M1,6.4,0.1,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M2,6.4,0.09,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M3,6.4,0.08,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M4,6.4,0.07,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M5,6.4,0.06,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M6,6.4,0.05,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M7,6.4,0.04,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M8,6.4,0.03,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M9,6.4,0.02,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B64M10,6.4,0.01,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M1,6.6,0.1,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M2,6.6,0.09,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M3,6.6,0.08,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M4,6.6,0.07,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M5,6.6,0.06,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M6,6.6,0.05,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M7,6.6,0.04,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M8,6.6,0.03,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M9,6.6,0.02,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B66M10,6.6,0.01,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M1,6.8,0.1,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M2,6.8,0.09,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M3,6.8,0.08,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M4,6.8,0.07,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M5,6.8,0.06,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M6,6.8,0.05,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M7,6.8,0.04,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M8,6.8,0.03,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M9,6.8,0.02,8,1.0,1.0,1.8,1.0,150,5
Sp,4,8,8,2,0,0,0,B68M10,6.8,0.01,8,1.0,1.0,1.8,1.0,150,5
